Brand,Model,Year,Attrebutes,Miles(k miles),Registration,Control,Fuel,Location,Price(£)
Porsche,Macan,2021.0,- 2.0T SUV 5dr Petrol PDK 4WD Euro 6 (s/s) (245 ps),29,2021 (21 reg),Auto,Petrol,Sheffield ,41480
Honda,CR-V,2010.0,(60) - 2.0 i-VTEC ES-T 4WD Euro 5 5dr,128,2010 (60 reg),Manual,Petrol,Stalybridge ,3250
BMW,i4,2025.0,- 250kW eDrive40 M Sport 83.9kWh 5dr Auto,101,2025 (25 reg),Auto,Electric,Harrogate ,65230
Mercedes-Benz,CLA,2014.0,(14) - 2.1 CLA220 CDI AMG Sport Coupe 7G-DCT Euro 6 (s/s) 4dr,97,2014 (14 reg),Auto,Diesel,Rotherham ,9950
Land Rover,Discovery,2000.0,(X) - 2.5 TD5 GS 5dr (5 Seats),151,2000 (X),Manual,Diesel,Wakefield ,3999
Land Rover,Range Rover Sport,2023.0,(23) - 2023 RANGE ROVER SPORT 3.0 D350 AUTOBIOGRAPHY AUTO 4WD EURO 6 5-Door,6,2023 (23 reg),Auto,Diesel,Wakefield ,79990
Peugeot,206,2004.0,(54) - 1.4 Zest 2 5dr [AC],70,2004 (54 reg),Manual,Petrol,Bradford ,1150
Peugeot,2008,2014.0,(14) - 1.6 e-HDi Feline Euro 5 (s/s) 5dr (Calima),138,2014 (14 reg),Manual,Diesel,Cleckheaton ,1995
Peugeot,2008,2015.0,- 1.6 BlueHDi 120 Allure 5dr,22,2015 (65 reg),Manual,Diesel,Castleford ,7490
MINI,Countryman,2019.0,"(68) - 1.5 Cooper Classic SUV 5dr Petrol Manual Euro 6 (s/s) (136 ps) Low Mileage,",35,2019 (68 reg),Manual,Petrol,Rochdale ,13990
Peugeot,3008,2018.0,(68) - 1.5 BlueHDi Allure Euro 6 (s/s) 5dr,80,2018 (68 reg),Manual,Diesel,Leeds ,9240
Hyundai,i10,2015.0,(15) - 1.2 Premium 5dr Auto,31,2015 (15 reg),Auto,Petrol,Ashton-under-lyne ,8095
Peugeot,208,2014.0,(14) - 1.6 e-HDi Feline Euro 5 (s/s) 5dr (Nav),87,2014 (14 reg),Manual,Diesel,Cleckheaton ,3250
BMW,i4,2025.0,- 210kW eDrive35 M Sport 70kWh 5dr Auto,101,2025 (25 reg),Auto,Electric,Harrogate ,57610
Porsche,Boxster,2004.0,- 2004 2.7 [228] 2dr CONVERTIBLE GREY FULL LEATHER SERVICE HISTORY,122,2004 (4 reg),Manual,Petrol,Bradford ,4999
Aston Martin,DBS,2022.0,(72) - 5.2 V12 BiTurbo Volante Auto Euro 6 (s/s) 2dr,5,2022 (72 reg),Auto,Petrol,Boroughbridge ,167995
Land Rover,Defender 110,2020.0,(70) - 2.0 SD4 S Auto 4WD Euro 6 (s/s) 5dr,45,2020 (70 reg),Auto,Diesel,York ,46489
Ford,Kuga,2016.0,(16) - 2.0 TDCi 150 Titanium X 5dr 2WD,96,2016 (16 reg),Manual,Diesel,KEIGHLEY ,7495
Citroen,DS5,2013.0,(63) - 2.0 HDi DStyle Auto Euro 5 5dr,78,2013 (63 reg),Auto,Diesel,Rotherham ,6350
Porsche,Boxster,2022.0,(22) - 2.0 2dr PDK,13,2022 (22 reg),Auto,Petrol,Bramham ,50000
BMW,3 Series,2021.0,(21) - M340d xDrive MHT 5dr Step Auto,90,2021 (21 reg),Auto,Diesel,Oldham ,30240
Porsche,Cayenne,2020.0,(70) - E-Hybrid 5dr Tiptronic S Coupe,46,2020 (70 reg),Auto,Hybrid,Dronfield ,52985
Renault,Clio,2013.0,(13) - 0.9 TCE 90 Dynamique MediaNav Energy 5dr,95,2013 (13 reg),Manual,Petrol,Wakefield ,3500
BMW,3 Series,2020.0,- 2.0 320d M Sport Pro Edition Saloon 4-Door,70,2020 (20 reg),Auto,Hybrid,oldham ,24995
Citroen,Berlingo,2010.0,(10) - 1.6i 16V VTR 5dr,89,2010 (10 reg),Manual,Petrol,Wakefield ,4000
Audi,A3,2017.0,(17) - 2.0 TDI Black Edition 5dr S Tronic,174,2017 (17 reg),Auto,Diesel,Bradford ,8995
Nissan,Qashqai,2014.0,(14) - 1.5 dCi Tekna 5dr,110,2014 (14 reg),Manual,Diesel,Barnsley ,5695
Land Rover,Defender 110,2021.0,- 5.0 P525 V8 Carpathian Edition SUV 5dr Petrol Auto 4WD Euro 6 (s/s) (525 ps,24,2021 (21 reg),Auto,Petrol,Sheffield ,87480
Nissan,GT-R,2015.0,- V6 Premium Black 2-Door,46,2015 (65 reg),Auto,Petrol,Cottingley ,56995
Ford,Ranger,2025.0,- 2.0 TD EcoBlue Wildtrak Pickup Double Cab 4dr Diesel Auto 4WD Euro 6 (s/s),5,2025 (74 reg),Auto,Diesel,Sheffield ,45900
Nissan,Qashqai,2016.0,(66) - 1.6 dCi Tekna 5dr Xtronic,85,2016 (66 reg),Auto,Diesel,Oldham ,8595
Porsche,911,2023.0,(23) - 3.0T 992 4 GTS Targa PDK 4WD Euro 6 (s/s) 2dr,7,2023 (23 reg),Auto,Petrol,Boroughbridge ,129995
Volkswagen,Caravelle,2018.0,(18) - 2018 VOLKSWAGEN CARAVELLE 2.0 TDI BlueMotion TECH EXECUTIVE DSG EURO 6 5-Door,17,2018 (18 reg),Auto,Diesel,Wakefield ,29990
Porsche,911,2022.0,(22) - 3.0T 992 4 GTS Targa PDK 4WD Euro 6 (s/s) 2dr,13,2022 (22 reg),Auto,Petrol,Boroughbridge ,119895
Audi,A6 Saloon,2011.0,- 2.0 TDI S Line 4dr,146,2011 (11 reg),Manual,Diesel,Ossett ,4995
Volkswagen,Golf,2013.0,(63) - 2.0 TDI BlueMotion Tech GT Euro 5 (s/s) 3dr,95,2013 (63 reg),Manual,Diesel,Dukinfield ,7150
Hyundai,i20,2013.0,(13) - 1.2 Classic 5dr,133,2013 (13 reg),Manual,Petrol,Greasborough ,1895
Mercedes-Benz,GLE-Class,2019.0,(19) - 3.0 GLE450h MHEV AMG Line (Premium Plus) G-Tronic 4MATIC Euro 6 (s/s) 5dr (,107,2019 (19 reg),Auto,Petrol,Rochdale ,31979
BMW,M5,2025.0,(25) - 4.4 22.1kWh Steptronic xDrive Euro 6 (s/s) 4dr,3,2025 (25 reg),Auto,Hybrid,Boroughbridge ,97995
SEAT,Ibiza,2012.0,(12) - 1.2 TSI FR Sport Coupe Euro 5 3dr,49,2012 (12 reg),Manual,Petrol,Leeds ,5240
